epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,10141.8,1.55726,1.09528,0.91151,0.42661,0.3185,0.31701,0.17984,1.48172,1.0647,0.90604,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10282.3,1.54974,1.09039,0.911,0.41848,0.32189,0.31814,0.17911,1.48265,1.06339,0.906,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10426.3,1.54745,1.09026,0.91118,0.42709,0.3178,0.3178,0.18042,1.48261,1.06276,0.9055,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10569.9,1.55339,1.09037,0.91031,0.41796,0.32185,0.31796,0.18061,1.47782,1.06396,0.90581,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10712.1,1.54262,1.08443,0.90806,0.4303,0.32562,0.32133,0.18195,1.47385,1.05811,0.90426,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10855,1.5397,1.0813,0.91023,0.42313,0.32283,0.31933,0.18098,1.47347,1.0611,0.90503,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10997.4,1.53325,1.0749,0.90933,0.42449,0.323,0.32005,0.18164,1.47482,1.06042,0.90463,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11139.7,1.53071,1.07048,0.9063,0.42878,0.32296,0.32036,0.18286,1.47262,1.05628,0.90407,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11282.3,1.53768,1.07574,0.90842,0.42656,0.32694,0.32328,0.18368,1.47079,1.05497,0.90423,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11425.3,1.52951,1.06955,0.90596,0.42292,0.32195,0.3214,0.18391,1.46858,1.05357,0.90241,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11567.1,1.53277,1.07027,0.90621,0.41953,0.32476,0.32221,0.18306,1.47138,1.05761,0.90365,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11711,1.52779,1.06926,0.90589,0.42469,0.32502,0.32246,0.18355,1.47125,1.05591,0.90371,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11855,1.52869,1.06898,0.90665,0.41782,0.32794,0.32128,0.18301,1.47116,1.05773,0.90347,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11997.4,1.53666,1.07302,0.90607,0.42081,0.32965,0.3225,0.1832,1.47327,1.05586,0.90366,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12140.1,1.53496,1.06889,0.90454,0.43392,0.32465,0.32353,0.18425,1.4738,1.05401,0.90343,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12284.3,1.51832,1.06021,0.90449,0.42853,0.32626,0.3247,0.18489,1.47221,1.05435,0.90348,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12428.5,1.51841,1.05413,0.90577,0.42757,0.32541,0.32545,0.18486,1.47162,1.05503,0.90425,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12572.6,1.51421,1.05521,0.90386,0.42503,0.32783,0.32396,0.18351,1.47038,1.05223,0.90337,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12715.6,1.52076,1.05939,0.90441,0.42698,0.32483,0.32321,0.18382,1.47052,1.05226,0.90334,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12858.2,1.52191,1.05812,0.90408,0.42366,0.32949,0.32354,0.18444,1.47124,1.05358,0.9031,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
