epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,1313.29,1.7724,1.34485,0.96814,0.35672,0.24839,0.22997,0.12113,1.68026,1.26224,0.95075,0.000600902,0.000600902,0.000600902,,,,,
60,1439.85,1.76489,1.33512,0.96601,0.33151,0.25121,0.23017,0.12251,1.68739,1.25186,0.95624,0.000586765,0.000586765,0.000586765,,,,,
61,1742.73,1.76861,1.32702,0.96249,0.36145,0.24846,0.22966,0.12208,1.67069,1.25212,0.95006,0.000572628,0.000572628,0.000572628,,,,,
62,1867.53,1.77182,1.33455,0.96496,0.35163,0.24961,0.23411,0.12493,1.6744,1.23801,0.95153,0.000558491,0.000558491,0.000558491,,,,,
63,1993.45,1.76334,1.32656,0.96303,0.34443,0.25326,0.2356,0.12735,1.66213,1.24227,0.95031,0.000544354,0.000544354,0.000544354,,,,,
64,2120.66,1.74319,1.31247,0.96086,0.35577,0.25614,0.23487,0.12746,1.66214,1.23364,0.94742,0.000530216,0.000530216,0.000530216,,,,,
65,2249.14,1.76002,1.31505,0.95809,0.34324,0.25644,0.23796,0.12739,1.65761,1.23055,0.94654,0.000516079,0.000516079,0.000516079,,,,,
66,2376.49,1.74574,1.30853,0.9588,0.34858,0.25471,0.23783,0.12654,1.66597,1.23303,0.94535,0.000501942,0.000501942,0.000501942,,,,,
67,2503.89,1.74726,1.31141,0.95701,0.33822,0.25458,0.23897,0.12857,1.65457,1.23426,0.94725,0.000487805,0.000487805,0.000487805,,,,,
68,2631.59,1.73939,1.29713,0.95569,0.3547,0.26052,0.24341,0.13114,1.6471,1.21685,0.94341,0.000473668,0.000473668,0.000473668,,,,,
69,2759.53,1.73399,1.30178,0.95677,0.34137,0.25773,0.23947,0.12825,1.64748,1.22481,0.94283,0.00045953,0.00045953,0.00045953,,,,,
70,2886.01,1.72749,1.29335,0.95365,0.34417,0.26114,0.24579,0.13116,1.64696,1.21706,0.94364,0.000445393,0.000445393,0.000445393,,,,,
71,3015.57,1.7418,1.298,0.9547,0.3579,0.25854,0.24648,0.13186,1.64549,1.21824,0.94195,0.000431256,0.000431256,0.000431256,,,,,
72,3143.75,1.72919,1.28164,0.95276,0.35142,0.26476,0.24592,0.13445,1.63379,1.20686,0.94352,0.000417119,0.000417119,0.000417119,,,,,
73,3272.18,1.71974,1.2802,0.9542,0.36037,0.25686,0.24833,0.13412,1.6275,1.2082,0.94054,0.000402982,0.000402982,0.000402982,,,,,
74,3403.4,1.72553,1.28319,0.95205,0.35535,0.26972,0.25225,0.13728,1.62602,1.20308,0.93917,0.000388844,0.000388844,0.000388844,,,,,
75,3531.32,1.70814,1.26784,0.95142,0.35124,0.26742,0.24712,0.13395,1.63369,1.20482,0.93911,0.000374707,0.000374707,0.000374707,,,,,
76,3666.21,1.71687,1.27532,0.95045,0.35133,0.26625,0.25019,0.13602,1.62592,1.20038,0.94037,0.00036057,0.00036057,0.00036057,,,,,
77,3796.01,1.72084,1.27235,0.94775,0.37102,0.26691,0.25529,0.13824,1.62663,1.19538,0.93827,0.000346433,0.000346433,0.000346433,,,,,
78,3924.43,1.70847,1.26307,0.94625,0.3662,0.26817,0.25169,0.13607,1.62219,1.19644,0.93827,0.000332296,0.000332296,0.000332296,,,,,
79,4052.79,1.69586,1.25187,0.94526,0.35514,0.27428,0.25536,0.13896,1.62592,1.19185,0.9377,0.000318158,0.000318158,0.000318158,,,,,
80,4182.18,1.71055,1.26079,0.94606,0.36784,0.26999,0.25887,0.13965,1.61599,1.19066,0.9386,0.000304021,0.000304021,0.000304021,,,,,
81,4327.64,1.70021,1.25757,0.94643,0.36364,0.27196,0.25338,0.13817,1.61684,1.1893,0.93593,0.000289884,0.000289884,0.000289884,,,,,
82,4459.67,1.7089,1.25442,0.94452,0.35912,0.27102,0.25559,0.13868,1.61339,1.18708,0.93633,0.000275747,0.000275747,0.000275747,,,,,
83,4588.01,1.69906,1.24516,0.94509,0.37441,0.27146,0.25847,0.13997,1.60886,1.18224,0.93332,0.00026161,0.00026161,0.00026161,,,,,
84,4722.48,1.70699,1.24738,0.94272,0.37154,0.27039,0.25734,0.14095,1.60713,1.18139,0.93424,0.000247472,0.000247472,0.000247472,,,,,
85,4850.81,1.69584,1.24335,0.94284,0.37801,0.27392,0.26079,0.14276,1.60811,1.17771,0.93314,0.000233335,0.000233335,0.000233335,,,,,
86,4978.31,1.6849,1.23863,0.94324,0.37586,0.27303,0.26126,0.14206,1.61089,1.17758,0.93272,0.000219198,0.000219198,0.000219198,,,,,
87,5107.43,1.67952,1.23459,0.94271,0.37541,0.27189,0.26046,0.14298,1.60063,1.17576,0.9322,0.000205061,0.000205061,0.000205061,,,,,
88,5237.44,1.67938,1.2293,0.94179,0.38151,0.26996,0.26151,0.14267,1.60404,1.17222,0.9309,0.000190924,0.000190924,0.000190924,,,,,
89,5365.38,1.68049,1.22753,0.93986,0.37971,0.27497,0.26101,0.14302,1.6021,1.17256,0.93193,0.000176786,0.000176786,0.000176786,,,,,
90,5494.71,1.67438,1.22694,0.94077,0.37677,0.2744,0.26168,0.14422,1.59092,1.17021,0.92969,0.000162649,0.000162649,0.000162649,,,,,
91,5650.56,1.61566,1.18393,0.94066,0.38347,0.2688,0.2588,0.14209,1.6017,1.17576,0.93303,0.000148512,0.000148512,0.000148512,,,,,
92,6046.41,1.6023,1.17154,0.93784,0.37764,0.27152,0.2627,0.14398,1.60507,1.17515,0.9318,0.000134375,0.000134375,0.000134375,,,,,
93,6164.18,1.60422,1.17113,0.93927,0.37419,0.27634,0.26364,0.14453,1.59987,1.16903,0.93082,0.000120238,0.000120238,0.000120238,,,,,
94,6284.85,1.60285,1.17189,0.93946,0.37057,0.27722,0.26284,0.1447,1.59604,1.16695,0.93112,0.0001061,0.0001061,0.0001061,,,,,
95,6406.69,1.5998,1.16251,0.93883,0.38001,0.2754,0.26333,0.14476,1.59287,1.1659,0.92918,9.19632e-05,9.19632e-05,9.19632e-05,,,,,
96,6530.05,1.59405,1.15537,0.93692,0.37053,0.27627,0.26384,0.14428,1.59606,1.16208,0.93005,7.7826e-05,7.7826e-05,7.7826e-05,,,,,
97,6650.86,1.60005,1.15915,0.93437,0.38242,0.27892,0.26441,0.14459,1.59304,1.16435,0.93085,6.36888e-05,6.36888e-05,6.36888e-05,,,,,
98,6772.57,1.58981,1.14955,0.93454,0.3777,0.27805,0.26547,0.14602,1.59285,1.16125,0.92946,4.95516e-05,4.95516e-05,4.95516e-05,,,,,
99,6894.24,1.5969,1.15214,0.9344,0.37346,0.28029,0.26508,0.14572,1.59312,1.16236,0.92977,3.54144e-05,3.54144e-05,3.54144e-05,,,,,
100,7016.44,1.58703,1.14544,0.93453,0.37951,0.27867,0.26569,0.14601,1.59094,1.161,0.92922,2.12772e-05,2.12772e-05,2.12772e-05,,,,,
101,194.963,1.68924,1.23554,0.94228,0.36365,0.27365,0.25778,0.13862,1.64459,1.1962,0.93891,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
102,348.207,1.71519,1.2588,0.94831,0.36309,0.25895,0.24118,0.13102,1.63804,1.21847,0.93632,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
103,571.945,1.77023,1.29527,0.95771,0.34166,0.25609,0.23834,0.1277,1.68816,1.2512,0.94944,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
104,712.921,1.78678,1.3206,0.96345,0.33654,0.25732,0.23722,0.12672,1.67873,1.25355,0.94871,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
105,854.491,1.77403,1.31501,0.95902,0.33143,0.2558,0.23537,0.12577,1.68849,1.24823,0.94864,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
106,997.126,1.77698,1.31304,0.95798,0.32678,0.26298,0.23818,0.12738,1.66054,1.24392,0.94762,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
107,1139.88,1.75918,1.30566,0.95651,0.33401,0.27132,0.24763,0.13189,1.64657,1.23137,0.9452,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
108,1282.59,1.7461,1.29773,0.95512,0.36659,0.26076,0.24952,0.13353,1.63234,1.21245,0.93898,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
